od3	od3_7	Multiply	動詞 (Verb: multiply, multiplied, multiplied)	乘，相乘	multi (多) + ply (折疊) -> 折疊許多次，數量變多。	諧音「馬蹄拍」，好多馬蹄拍著地板，數量加倍相乘。	在黑板上寫下 3 ✖️ 4 = 12 的數學算式。	multiply by, multiple	✖️	Multiply 24 hours times 60 minutes to get the answer.	將24小時乘以60分鐘就能得到答案。	Multiply the numbers, wake up from your slumbers!	Multiply (乘) vs. Divide (除)。
od3	od3_7	Axis	名詞 (Noun)	軸，自轉軸	來自拉丁語 axis，指車輪的軸。	諧音「愛克西斯」，地球先生愛圍著他的西裝腰帶（自轉軸）轉。	一顆地球儀中間穿過去的那根鐵桿。	Earth's axis, on its axis	🌍	The Earth turns on an imaginary line called an axis.	地球繞著一條叫做軸的假想線轉動。	Turn on the axis, it's a daily practice!	Axis (軸) vs. Axe (斧頭)。
od3	od3_7	Planet	名詞 (Noun)	行星	源自希臘語 planan (流浪) -> 在天空中移動的星星（流浪星）。	諧音「撲浪特」，太空人撲向浪漫特異的星球。	望遠鏡裡看到帶有光環的土星。	the solar system, planet Earth	🪐	Earth is a planet.	地球是一顆行星。	Planet Earth is blue, home for me and you!	Planet (行星) vs. Plant (植物)。Planet 中間多了個 e。
od3	od3_7	Accurate	形容詞 (Adj)	準確的，精確的	ac (朝向) + cur (關心) + ate -> 非常關心細節，所以很精確。	諧音「阿Q瑞特」，阿Q用瑞典的尺測量，非常準確。	射箭選手正中紅心，精準無比。	accurately, accurate time	🎯	To be very accurate, it takes the Earth 365 days.	非常精確地說，地球繞太陽一圈需要365天。	Be accurate and true, in everything you do!	Accurate (準確的) vs. Active (活躍的)。
od3	od3_7	Opposite	形容詞 (Adj)	相反的，對面的	ob (相對) + posit (放置) -> 放在對面。	諧音「阿婆坐它」，阿婆坐在我的正對面。	鏡子裡映照出來的左右顛倒的自己。	opposite side, exactly opposite	🪞	It is 10:00 p.m. on the opposite side of the world.	在地球的另一端就是晚上10:00。	Left and right, day and night, opposites are bright!	Opposite (相反的) vs. Oppose (反對-動詞)。
od3	od3_7	Measure	動詞 (Verb: measure, measured, measured)	測量	來自拉丁文 mensura (測量)。	諧音「妹摺」，妹妹摺紙前，先用尺測量長度。	拿著捲尺量身高的畫面。	measure time, measurement	📏	We can measure time very easily.	我們可以非常輕鬆地測量時間。	Measure the time, write a little rhyme!	Measure (測量) vs. Treasure (寶藏)。
od3	od3_7	Preparation	名詞 (Noun)	準備	pre (前) + par (準備) + ation (名詞字尾) -> 事先準備。	prepare 加上 tion 魔法尾巴，動詞變名詞。	生日派對前，大家忙著吹氣球準備。	in preparation for	🎁	The preparation for the trip took a week.	這趟旅行的準備花了一個禮拜。	Preparation is key, for you and for me!	Preparation (準備) vs. Separation (分離)。
od3	od3_7	Celebration	名詞 (Noun)	慶祝活動	celebrate (慶祝) + ion (名詞字尾)。	諧音「沙拉杯宣」，舉起沙拉杯大聲宣佈，慶祝派對開始！	滿天彩帶，大家戴著派對帽歡呼。	hold a celebration	🎉	We had a big celebration for the new year.	我們為新年舉辦了盛大的慶祝活動。	A celebration today, shout hooray!	Celebrate (動詞) vs. Celebration (名詞)。
od3	od3_7	Suggestion	名詞 (Noun)	建議	suggest (建議) + ion (名詞字尾)。	諧音「十傑選」，十大傑出青年提出的絕佳建議。	舉手向老師提出一個讓班上更好的點子。	make a suggestion	💡	Do you have any suggestions?	你有任何建議嗎？	A good suggestion, answers the question!	Suggestion (建議) vs. Digestion (消化)。
od3	od3_7	Information	名詞 (Noun)	資訊	inform (通知) + ation (名詞字尾) -> 通知別人的內容。	諧音「因佛美神」，因為佛祖和美神的資訊，世界和平。	在電腦網頁上搜尋動物的知識。	useful information, information desk	ℹ️	The article informs you about time. You get information.	這篇文章告訴你關於時間的事。你獲得了資訊。	Read the information, across the nation!	Inform (動詞) vs. Information (名詞)。
